School Name,Website URL,Persona Name,Persona Title,Contact Details,Source URL
Pahoa School,http://www.pahoa.or.id/,,School Office,"(021) 5474343, 0813 9808 9274",https://www.pahoa.or.id/
Gandhi School Ancol,https://gandhiancol.org/,,School Office,"(021) 6903678",https://gandhiancol.org/
Mahatma Gandhi School Jakarta,http://www.mgsjkt.sch.id/,,School Office,"(021) 6586 2020",http://www.mgsjkt.sch.id/
Universal School Jakarta,https://universalschool.id/,,School Office,"(021) 65310999",https://universalschool.id/
New Zealand School Jakarta,https://www.nzsj.sch.id/,,School Office,"info@nzsj.sch.id, (62-21) 718-3222",https://www.expat.or.id/orgs/schools.html
Nord Anglia School Jakarta,https://www.nordangliaeducation.com/nas-jakarta/,,Admissions Office,"admissions@nasjakarta.sch.id, +(62-21) 782-3930",https://www.expat.or.id/orgs/schools.html
Regality Academy,https://www.regalityacademy.sch.id/,,School Office,"info@regalityacademy.sch.id, +62-811-8899-400",https://www.expat.or.id/orgs/schools.html
Springfield School Jakarta,https://www.springfield.sch.id/,,School Office,"pr@springfield.sch.id, (021) 5345678",https://www.expat.or.id/orgs/schools.html
Ichthus School Jakarta,https://www.ichthusschool.com/,,School Office,"marketing@ichthusschool.com",https://www.expat.or.id/orgs/schools.html
Wellington College Jakarta,https://www.wellingtoncollege.sch.id/,,Admissions Office,"admissions@wellingtoncollege.id, +62 0811 9000 0083",https://www.expat.or.id/orgs/schools.html
Beacon Academy,https://www.beaconacademy.net/,,Admissions Office,"admissions@beaconacademy.net, (62-21) 460-3480",https://www.expat.or.id/orgs/schools.html
Jakarta Montessori School,https://www.jktmontessori.com/,Siti Rohmatun,Principal,"admin@jktmontessori.com, (62-21) 719-4907",https://www.expat.or.id/orgs/schools.html
The Independent School of Jakarta,https://www.isj.id/,,School Office,"info@isj.id, (021) 78847188",https://www.isj.id/
NationalHigh Jakarta School,https://nh.piagetacademy.org/,,School Office,"(021) 5854700",https://nh.piagetacademy.org/
SMP Kanisius Jakarta,https://kanisius.edu/,,School Office,"(021) 3909009",https://id.wikipedia.org/wiki/Kolese_Kanisius
SMP Santa Ursula Jakarta,https://santaursula-jkt.sch.id/,,School Office,"(021) 3848182",https://www.cnnindonesia.com/
SMP Madina Islamic School,https://madina.sch.id/,,School Office,"(021) 83701556",https://www.investasiku.id/eduvest/rencana/smp-swasta-terbaik-di-jakarta
SMPK 2 Penabur Jakarta,https://bpkpenabur.or.id/,,School Office,"(021) 3519567",https://www.investasiku.id/eduvest/rencana/smp-swasta-terbaik-di-jakarta
SMA Bina Bangsa Kebon Jeruk,https://binabangsaschool.com/,,School Office,"021 534 8378",https://tirto.id/daftar-sma-swasta-di-jakarta-barat-dan-info-biayanya-gZ2f
SMA Muhammadiyah 13 Jakarta,https://smam13.sch.id/,,School Office,"(021) 5666875",https://tirto.id/daftar-sma-swasta-di-jakarta-barat-dan-info-biayanya-gZ2f
SMA Kristen 1 Penabur Jakarta,https://bpkpenabur.or.id/,,School Office,"(021) 3902393",https://tirto.id/daftar-sma-swasta-di-jakarta-barat-dan-info-biayanya-gZ2f
SD Cikal Jakarta Selatan,https://www.cikal.co.id/,,School Office,"+62 21 7590 2580",https://www.cikal.co.id/
Perguruan Kristen Methodist Immanuel,https://methodist.or.id/,,School Office,"(6221) 662 0212",https://methodist.or.id/
Sekolah Dian Harapan Lippo Village,https://www.sdh.sch.id/,,Admissions Office,"(021) 5460905",https://www.sdh.sch.id/
SPH Kemang Village,https://sph.edu/,,Campus Office,"(021) 7197755",https://sph.edu/our-schools/
SPH Lippo Village,https://sph.edu/,,Campus Office,"(021) 5460234",https://sph.edu/our-schools/
SPH Pluit Village,https://sph.edu/,,Campus Office,"(021) 6612345",https://sph.edu/our-schools/
Sekolah Citra Berkat Tangerang,https://www.citraberkat.sch.id/,,School Office,"info.tangerang@citraberkat.sch.id, (021) 5962919",https://www.citraberkat.sch.id/contact-us/
Ananda School Bekasi,https://anandaschoolbekasi.sch.id/,,School Office,"(021) 8802828",https://anandaschoolbekasi.sch.id/
Sekolah HighScope Duren Tiga,https://highscope.or.id/,,School Office,"shi.jkt-durentiga@sch.highscope.or.id, (021) 26966441",https://highscope.or.id/en/network-of-school/
Sekolah HighScope Kuningan,https://highscope.or.id/,,School Office,"highscopekuningan@yahoo.com, 021.8292034",https://highscope.or.id/en/network-of-school/
